seconds_elapsed,z,y,x
0.143439697,-2.846007824,-0.581976891,-0.46824646
0.159217041,-2.65146637,-0.560432315,-0.418556929
0.175116699,-2.132023811,-0.366185665,-0.535990119
0.190986084,-1.023349762,-0.04103899,-0.522485018
0.206763428,-0.449766159,0.229015112,-0.356920421
0.222663086,-0.719320297,0.269587278,-0.15787816
0.238471436,-0.810947418,0.145296574,-0.244672239
0.254371094,0.340596199,0.149150133,-0.077587843
0.270270752,1.572147369,0.250597477,0.288907766
0.286078613,2.378911972,0.19626236,0.649343729
0.301978271,2.862319946,0.203771114,0.36478436
0.317908691,2.700389862,0.147111893,-0.003412008
0.333777588,2.164018631,-0.057687163,-0.409338117
0.349616455,2.073991776,0.145131707,-0.673207581
0.365485596,2.344587326,0.255768895,-0.729026496
0.381568359,2.417898178,0.201357484,0.025755763
0.397345703,2.28207016,-0.122758389,0.331700802
0.413154053,2.794582367,-0.566465557,-0.031676352
0.428992432,3.740675926,-0.980634391,-0.319312692
0.444800781,5.018012047,-1.098864675,0.191145897
0.460669922,5.592435837,-1.40125227,0.796599686
0.476508301,4.933927536,-1.172561646,1.00216186
0.492347168,3.017739296,-1.029299259,0.657648146
0.508124756,1.391163826,-0.858512282,0.058589995
0.5239021,0.44636631,-0.654143631,-0.049235523
0.539740967,-0.004172325,-0.590934575,0.102635324
0.555548828,-0.338381767,-0.586635113,0.320380867
0.571387695,-0.974452019,-0.501717806,0.375370741
0.587195557,-1.347993851,-0.400191069,0.271649212
0.603003906,-1.939397812,-0.391282558,0.142062798
0.618934082,-2.773595333,-0.502795815,-0.126885012
0.634741943,-2.900094986,-0.54095161,-0.303897798
0.650611084,-2.399430752,-0.491657972,-0.092907213
0.666449951,-1.881776333,-0.537903428,0.463579893
0.682257813,-1.759528637,-0.499000669,0.741258204
0.698157471,-2.377007484,-0.392492414,0.237393692
0.71396582,-3.094855785,-0.031425595,-0.082133681
0.729804199,-3.678683758,0.179795742,-0.274211943
0.745643066,-3.87898159,0.2424016,-0.234604374
0.761481689,-3.156731129,0.244568825,-0.289697707
0.777411865,-1.741560936,0.14225769,-0.374059677
0.793250488,-0.301998138,0.098935843,-0.341155857
0.809180664,1.053594589,0.050168276,-0.393536329
0.825019043,1.599619865,-0.037647724,-0.310917854
0.840827393,1.241260529,-0.163565159,-0.184471056
0.856727051,1.053497314,-0.106122494,-0.452747852
0.872535156,0.972805977,-0.424127102,-1.008360744
0.888404297,1.40826416,-0.451901555,-0.923455954
0.904212158,1.921133041,-0.53486371,-1.183487177
0.91998999,2.461377144,-0.730426669,-1.775396109
0.935889648,2.388934135,-0.869455695,-2.052634478
0.951636719,1.866504669,-1.191437125,-1.622460485
0.967536377,1.368777275,-1.660028934,-1.354028463
0.983344482,1.420794487,-1.730351806,-1.472456813
0.999244141,1.536418915,-1.606606483,-1.856554508
1.015113281,1.892346382,-1.359781504,-2.145539284
1.030951904,1.584281921,-1.321430922,-2.342544079
1.046820801,1.268878937,-1.118527174,-2.422440529
1.062659668,1.019651413,-0.982948184,-2.343126059
1.078467773,0.402532578,-0.890715122,-2.22850132
1.094367432,-0.506069183,-0.819964647,-1.982892632
1.110175537,-1.595736504,-0.505800247,-1.803790092
1.126075195,-2.154532433,-0.331769407,-1.79568696
1.141913818,-2.283013821,-0.159397066,-1.574979186
1.157782715,-2.079379559,-0.016326904,-1.162612677
1.173651855,-2.148258209,0.106557727,-0.837670088
1.189490723,-2.167449474,0.155791402,-0.558764398
1.205481934,-1.851746082,0.248058558,-0.332333475
1.221290039,-2.127427578,0.419204056,-0.170171261
1.23715918,-2.764023304,0.682423532,-0.21576789
1.25302832,-3.726355553,0.962455451,-0.66065824
1.268836426,-3.805017471,1.220211267,-0.746095538
1.284766357,-3.006337643,1.247902513,-0.668910682
1.300605225,-1.615462303,1.144502401,-0.421607733
1.316474365,0.139183998,1.017978549,-0.353948683
1.332343506,1.485117912,0.869879246,-0.47580269
1.348121094,2.056716919,0.772650719,-0.605750442
1.363959473,2.163164139,0.525965691,-0.49564141
1.37979834,2.058024406,0.455908895,-0.685949564
1.395636963,1.834220886,0.25881815,-0.811847627
1.411505859,1.708417892,-0.067774057,-0.628426015
1.427344727,2.615478516,0.067501664,0.027970016
1.443213867,3.027029991,0.308967233,0.432580829
1.45905249,2.48230648,0.266914248,0.50965029
1.474830078,1.882683754,0.130032897,0.349004567
1.490699219,2.39125061,-0.230980277,0.347174525
1.506507324,3.183260918,-0.668754101,0.379848301
1.522406982,4.392009735,-0.652835429,0.446451008
1.538276123,4.439455032,-0.74754107,0.599910796
1.554114746,3.652797699,-0.930193007,0.710599184
1.570014404,2.490766525,-0.997567475,0.474187315
1.585791992,1.258284569,-1.036787987,0.367528558
1.601722168,-0.067116737,-1.037647605,0.128222108
1.617530029,-0.661336899,-1.101811171,-0.120240241
1.633338379,-0.621980667,-1.093113899,-0.04235512
1.649238037,-0.334259033,-1.162619591,0.205079943
1.665045898,0.03459549,-1.110896945,0.508727074
1.680915283,-0.159556389,-0.973602891,0.603072941
1.696723389,-1.058663368,-0.754673004,0.636606812
1.712531494,-2.283554077,-0.54130137,0.576542854
1.728400635,-3.265496254,-0.453662336,0.457004726
1.744178223,-3.636424065,-0.416197956,0.291701615
1.760047363,-3.259398937,-0.326519608,0.221281663
1.775855469,-2.853649139,-0.18886435,0.436906099
1.791663574,-2.768708706,0.123108745,0.852066755
1.807563232,-3.08450985,0.390209198,0.966790915
1.82334082,-3.38165617,0.568200827,0.693013728
1.839240479,-3.323185444,0.564220309,0.239792705
1.855079102,-2.511737347,0.540938497,0.149661303
1.870887207,-1.253124237,0.327632546,0.21318832
1.886756348,0.503871918,0.144497991,0.579153061
1.902564453,1.686182022,-0.040424347,0.847150564
1.918433594,1.838027954,-0.130963087,0.896303177
1.934241455,1.828663826,0.006604433,0.50009501
1.950049805,1.304028511,0.088393688,-0.528973818
1.965949463,0.934945107,-0.119431734,-1.404764771
1.981727051,1.542016983,-0.010080934,-1.013557434
1.997596191,2.152135849,-0.45813477,-0.638687134
2.013434814,2.50347805,-0.547752261,-0.764459968
2.02924292,2.054696083,-0.702222645,-1.363498092
2.045112061,1.88284874,-1.036555052,-2.054517031
2.060920166,1.997384071,-1.444748878,-2.736756325
2.076819824,2.580878258,-1.640190125,-2.691663265
2.092658447,2.789833069,-1.720196724,-2.356209517
2.108496826,2.805182457,-1.375690222,-1.909450412
2.124365967,1.996167183,-1.171179533,-2.046463966
2.140204834,0.731163025,-1.063152909,-2.068482876
2.156104492,-0.246863365,-0.936789036,-1.922868133
2.171943115,-1.236682892,-0.944915295,-1.781538963
2.187781738,-1.802064896,-0.946330309,-1.16140461
2.203650879,-1.841409683,-0.869343221,-0.758930683
2.21945874,-1.602407455,-0.652886152,-0.357765913
2.235327881,-1.722569466,-0.36918664,-0.182878241
2.251166748,-2.199853897,-0.143634915,-0.033567563
2.266974609,-2.815533161,0.096947789,-0.006784927
2.282843994,-3.223134041,0.370514572,-0.258867353
2.298591064,-3.389783859,0.563829243,-0.311969966
2.314490723,-3.478661537,0.644540071,-0.210886419
2.330298828,-3.307961464,0.803608537,-0.128073081
2.346106934,-2.463631153,0.978983402,0.068254828
