seconds_elapsed,longitude,latitude
97.75464893,25.5148846,65.0702009
98.30909204,25.5148789,65.0701967
98.86393213,25.5148679,65.070187
99.4184978,25.5148608,65.0701802
99.96433911,25.5148388,65.0701748
100.5277507,25.5148161,65.0701649
101.082499,25.5148013,65.0701596
101.6369258,25.5147903,65.0701527
102.1853708,25.5147789,65.0701466
102.7461482,25.5147643,65.070135
103.3010186,25.5147581,65.0701306
103.8556755,25.5147488,65.0701202
104.3565571,25.5147468,65.0701134
104.9324307,25.5147391,65.0701043
105.5195854,25.5147211,65.0700928
106.0741509,25.5147096,65.0700864
106.6290603,25.5147385,65.0700725
107.1835037,25.5147535,65.0700601
107.7380081,25.5147605,65.0700432
108.2924209,25.5147656,65.0700359
108.8460708,25.5147647,65.0700238
109.4009417,25.5147646,65.0700148
109.9015005,25.514762,65.0700059
110.51053,25.5147553,65.0699931
111.064821,25.5147521,65.0699857
111.6191973,25.5147485,65.0699774
112.1735488,25.5147449,65.0699699
112.7282974,25.5147416,65.0699616
113.2827712,25.514737,65.0699522
113.8370623,25.5147326,65.069941
114.3918718,25.5147317,65.0699332
114.9015005,25.5147298,65.0699256
115.5009109,25.5147281,65.0699176
116.0553542,25.5147258,65.0699093
116.6099004,25.5147263,65.0699013
117.1642827,25.5147254,65.0698936
117.7186343,25.514736,65.0698841
118.2733218,25.5147405,65.0698755
118.8277957,25.5147491,65.0698663
119.3500417,25.5147555,65.0698577
119.9074912,25.5147575,65.069849
120.4910649,25.5147591,65.0698364
121.0455693,25.5147605,65.0698308
121.6004475,25.5147628,65.0698235
122.1551655,25.5147619,65.069816
122.7097612,25.5147623,65.0698071
123.2644487,25.5147615,65.0698017
123.8189531,25.5147592,65.0697919
124.3409478,25.5147587,65.0697875
124.9015005,25.5147547,65.0697771
125.4835955,25.514752,65.0697708
126.038283,25.514748,65.0697639
126.5931782,25.514746,65.0697568
127.1473774,25.5147437,65.06975
127.7022175,25.5147443,65.0697434
128.2569966,25.5147427,65.0697366
128.8220232,25.5147408,65.0697295
129.3514792,25.5147386,65.0697227
129.9015005,25.5147345,65.0697127
130.4070173,25.5147338,65.0697112
130.9574431,25.5147298,65.0697041
131.4608152,25.5147265,65.0696976
132.0296228,25.5147208,65.069689
132.5846157,25.5147163,65.0696798
133.1391812,25.514713,65.0696754
133.6937463,25.5147093,65.0696663
